year,oman_total_gwh,per_capita_mwh,annual_growth_pct,source
2019,29500,6.9,6.5,Enerdata 2023
2020,30100,6.8,2.0,Enerdata 2023
2021,32200,7.2,7.0,Enerdata 2023
2022,36427,7.8,13.1,NCSI via CEIC Data 2023
2023,39296,8.5,7.9,NCSI via CEIC Data 2023
